date,MU,HYNIX_USD,USDKRW,rMU,rHY,z,pos_leadlag_ls,pos_leadlag_lf,pos_meanrev,ret_leadlag_ls,ret_leadlag_lf,ret_meanrev,ret_buyhold,eq_leadlag_ls,eq_leadlag_lf,eq_meanrev,eq_buyhold
2023-07-11,79.05842112714467,68.8128502842748,1326.8437527212088,0.0007557132507507447,0.009005607898862955,,0.0,0.0,0.0,0.0,0.0,0.0,0.009005607898862955,1.0,1.0,1.0,1.009005607898863
2023-07-12,80.92418522486213,69.73101720594099,1328.3453402271684,0.023325644382530264,0.01325472402082628,,0.0,0.0,0.0,0.0,0.0,-0.0,0.01325472402082628,1.0,1.0,1.0,1.0223796987670284
2023-07-13,79.73032600459817,69.39422608432061,1322.6124430820373,-0.014862716123411168,-0.004841562487738926,,1.0,1.0,0.0,-0.005341562487738927,-0.005341562487738927,0.0,-0.004841562487738926,0.9946584375122611,0.9946584375122611,1.0,1.017429783569252
2023-07-14,78.95044852922882,69.3861031132385,1317.3855486868215,-0.009829593497043376,-0.00011706228308216993,,0.0,0.0,0.0,-0.0005,-0.0005,0.0,-0.00011706228308216993,0.994161108293505,0.994161108293505,1.0,1.0173106809159116
2023-07-17,78.22147600165036,67.67360162072283,1317.8977281428674,-0.009276182841682079,-0.024990432008293872,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.024990432008293872,0.994161108293505,0.994161108293505,1.0,0.9918876475131714
2023-07-18,78.99748584764185,66.98977085770731,1316.2102980842963,0.009871788222519662,-0.010156238158422148,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.010156238158422148,0.994161108293505,0.994161108293505,1.0,0.9818138003386305
2023-07-19,79.69144881765115,67.86409498918664,1310.6227343507521,0.008746260667918726,0.012967168234077953,,0.0,0.0,0.0,0.0,0.0,0.0,0.012967168234077953,0.994161108293505,0.994161108293505,1.0,0.994545145062161
2023-07-20,78.89379941921224,67.5216193214622,1312.6506928737442,-0.01005965099417061,-0.005059269361976426,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.005059269361976426,0.994161108293505,0.994161108293505,1.0,0.9895134732806455
2023-07-21,79.00176971209935,67.08660884808916,1311.2690454949905,0.0013676167141341011,-0.0064633788539874,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0064633788539874,0.994161108293505,0.994161108293505,1.0,0.9831178728217078
2023-07-24,79.92140756796331,67.58908946001424,1316.6370826415898,0.011573492761866255,0.007462117514584143,,0.0,0.0,0.0,0.0,0.0,-0.0,0.007462117514584143,0.994161108293505,0.994161108293505,1.0,0.9904540139193914
2023-07-25,80.53474969024244,66.8458609928281,1316.6097964012072,0.0076450180542133594,-0.011057184712890411,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.011057184712890411,0.994161108293505,0.994161108293505,1.0,0.9795023809378609
2023-07-26,82.2237909094332,68.9828587963538,1315.0292002137573,0.020755922857071063,0.031468663704459665,,0.0,0.0,0.0,0.0,0.0,0.0,0.031468663704459665,0.994161108293505,0.994161108293505,1.0,1.010326011961312
2023-07-27,80.36974760995784,69.89444487005939,1315.7009475911705,-0.022806855439948315,0.01312812305647082,,1.0,1.0,0.0,0.012628123056470819,0.012628123056470819,0.0,0.01312812305647082,1.006715497106993,1.006715497106993,1.0,1.0235896961734936
2023-07-28,80.44364708597362,70.05414415021818,1314.7961436758735,0.0009190712173863247,0.002282257371732932,,-1.0,0.0,0.0,-0.003282257371732932,-0.0005,0.0,0.002282257371732932,1.0034111977453757,1.0062121393584396,1.0,1.0259257913032154
2023-07-31,80.88109481046376,70.42729468182792,1311.2874562240677,0.005423207767163873,0.005312465651101661,,0.0,0.0,0.0,-0.0005,0.0,-0.0,0.005312465651101661,1.0029094921465032,1.0062121393584396,1.0,1.031375986830093
2023-08-01,80.59910408948585,69.6715553239581,1309.1808303273058,-0.003492576917103918,-0.010788763624165476,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.010788763624165476,1.0029094921465032,1.0062121393584396,1.0,1.0202487151005426
2023-08-02,78.18296882074843,69.58415074963382,1313.1112185742784,-0.030435700120169606,-0.0012553106550026172,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0012553106550026172,1.0029094921465032,1.0062121393584396,1.0,1.018967986017724
2023-08-03,75.23453180458355,67.77238933688918,1316.5114066514761,-0.038441508730579166,-0.02638194721014475,,-1.0,0.0,0.0,0.02588194721014475,-0.0,0.0,-0.02638194721014475,1.028866742678792,1.0062121393584396,1.0,0.992085626401777
